"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
29,596847,"Choi, Ji Man",1840,1.6,0.5,0.5,1,1,0.66,0.646,0.316,1,2,102.1,29,2319,90.9,90.53,1,9,20,-0.4000000000000057,6.26,107,159,122,151,293,325,304
29,572816,"Dickerson, Corey",1083,2.7,0.2,0,0.5,0.2,0.262,0.212,0.127,1,5,77.2,-36,2299,90.5,91.26,6,19,10,0.7999999999999972,6.75,110,142,108,138,281,314,297
29,641553,"Engel, Adam",992,2.9,0.143,0,0.2,0.143,0.197,0.272,0.212,1,7,89.5,18.2,2352,88.7,88.45,6,14,15,-0.29999999999999716,6.16,109,150,111,147,301,326,289
29,650490,"Díaz, Yandy",2157,1.3,0,0,0,0,0,0.092,0.088,0,7,97.5,16,2270,91.2,90.84,2,11,18,-0.4000000000000057,6.27,106,145,122,148,299,322,287
28,595909,"Cave, Jake",710,3.9,0.167,0,0.25,0.167,0.147,0.268,0.271,1,6,79.2,1.8,2458,90.5,90.04,7,18,10,-0.5,6.03,120,148,113,151,287,312,289
28,405395,"Pujols, Albert",1385,2,0.2,0.6,0,0.8,0.399,0.439,0.162,1,5,100.9,31.3,2326,88.7,88.14,8,17,11,-0.6000000000000085,5.9,101,145,120,137,301,324,296
28,624428,"Frazier, Adam",2191,1.3,0.125,0,0.143,0.125,0.175,0.369,0.342,1,8,88.7,20,2311,91.6,91.99,4,16,12,0.4000000000000057,6.46,101,130,101,134,278,315,295
27,444482,"Peralta, David",1830,1.5,0,0,0,0,0,0.183,0.229,0,6,93.3,-2.2,2376,92.2,91.86,3,13,14,-0.29999999999999716,6.29,115,145,104,148,294,323,304
27,543281,"Harrison, Josh",1533,1.8,0.4,0,0.5,0.4,0.409,0.341,0.279,2,5,89.5,-4.3,2306,86.8,86.3,4,15,12,-0.5,6.04,109,150,108,147,292,322,283
26,676369,"Velázquez, Nelson",810,3.2,0,0,0,0,0.115,0.343,0.17,0,5,87.6,42,2193,85.7,85.73,5,10,16,0,6.31,106,150,118,146,301,322,293
26,608701,"Refsnyder, Rob",732,3.6,0,0,0,0,0.344,0.346,0.003,0,2,73.9,64,2284,94.4,94.43,3,10,16,0,6.32,115,149,122,149,287,319,289
26,594777,"Calhoun, Kole",1700,1.5,0.5,0.25,1,0.75,0.592,0.48,0.363,2,4,105,11.5,2242,89.7,89.76,6,12,14,0.09999999999999432,6.38,109,156,110,146,292,309,290
26,641680,"Heim, Jonah",1759,1.5,0,0,0,0,0.23,0.323,0.114,0,4,95.6,1.5,2262,90.8,90.84,4,12,14,0,6.41,106,146,116,145,293,329,294
25,670770,"Friedl, TJ",996,2.5,0.714,0.429,0.714,1.143,0.788,0.228,0.235,5,7,73.7,10.3,2443,89.4,89.06,2,13,12,-0.30000000000001137,6.18,113,135,94,139,279,313,290
25,624503,"Gordon, Nick",1550,1.6,0.167,0,0.333,0.167,0.147,0.066,0.072,1,6,85.6,12,2216,90,90.49,6,13,12,0.5,6.58,97,132,105,135,292,320,298
25,543939,"Wong, Kolten",2049,1.2,0.25,0.25,0.286,0.5,0.356,0.34,0.274,2,8,82.7,11.1,2185,89.9,90.04,2,11,14,0.09999999999999432,6.32,111,149,106,151,285,307,294
25,624512,"McGuire, Reese",967,2.6,0.2,0,1,0.2,0.177,0.037,0.04,1,5,50.7,-68,2172,89.6,90,3,10,15,0.4000000000000057,6.5,111,149,112,147,280,312,298
25,647351,"Toro, Abraham",1340,1.9,0.286,0.429,0.2,0.714,0.456,0.389,0.283,2,7,93.8,18.7,2477,88.2,87.76,3,11,14,-0.4000000000000057,5.94,106,156,119,148,289,320,296
25,542364,"Ortega, Rafael",1517,1.6,0.333,0,0.5,0.333,0.452,0.383,0.192,1,3,100.5,-17.5,2203,86.9,86.72,3,11,14,-0.20000000000000284,6.06,115,152,107,146,290,320,293
25,665120,"Walsh, Jared",1746,1.4,0,0,0,0,0.138,0.269,0.172,0,4,82.9,6,2377,91.3,91.35,5,11,14,0.10000000000000853,6.57,123,170,125,155,293,331,303
24,640461,"Pinder, Chad",1437,1.7,0.333,0,0.5,0.333,0.295,0.296,0.306,2,6,89,-7.8,2215,89.8,89.59,6,13,11,-0.20000000000000284,6.19,115,152,116,148,298,318,295
24,519390,"Vogt, Stephen",714,3.4,0.167,0,0.25,0.167,0.126,0.117,0.135,1,6,93.9,18,2328,91.5,91.08,6,13,11,-0.4000000000000057,6.23,113,164,112,148,286,318,300
24,624415,"Biggio, Cavan",1282,1.9,0.167,0,0.2,0.167,0.147,0.225,0.211,1,6,77.9,19.4,2137,94.2,94.5,2,11,13,0.29999999999999716,6.5,111,158,109,151,290,326,295
24,641658,"Hampson, Garrett",886,2.7,0,0,0,0,0.138,0.195,0.061,0,4,81.9,-4,2141,88.7,89.36,2,8,16,0.7000000000000028,6.45,113,151,106,148,308,325,295
24,621563,"Wendle, Joey",1281,1.9,0.429,0.143,0.429,0.571,0.465,0.584,0.543,3,7,96.1,11.7,2313,88.5,87.95,1,10,14,-0.5999999999999943,6.14,101,142,97,147,291,315,293
24,650402,"Torres, Gleyber",2226,1.1,0.333,0,0.5,0.333,0.315,0.286,0.146,1,3,95.5,24.5,2505,89.8,90.18,5,12,12,0.4000000000000057,6.5,100,152,118,146,306,326,287
24,669357,"Gorman, Nolan",1317,1.8,0,0,0,0,0.138,0.148,0.007,0,4,100.1,46,2284,84.9,85.03,7,13,11,0.09999999999999432,6.32,119,153,141,163,296,318,300
23,650333,"Arraez, Luis",2413,1,0,0,0,0,0,0.164,0.167,0,5,90.6,-0.5,2340,90.8,90.67,0,9,14,-0.09999999999999432,6.36,117,146,117,146,286,317,301
23,642727,"Alcántara, Sergio",942,2.4,0.167,0.5,0,0.667,0.345,0.07,0.042,1,6,94.1,35.3,2620,90,89.5,5,12,11,-0.5,6.2,119,155,96,153,282,313,300
22,656308,"Chavis, Michael",1524,1.4,0.4,0.2,0.5,0.6,0.358,0.306,0.278,2,5,96.1,10.8,2185,90.2,90.35,5,14,8,0.30000000000001137,6.47,108,148,117,144,306,317,292
22,543543,"Miller, Brad",914,2.4,0.25,0.75,0,1,0.552,0.557,0.277,1,4,102.9,4.5,2298,91.8,91.25,3,8,14,-0.5,6.06,105,142,105,139,290,326,300
22,663457,"Nootbaar, Lars",1389,1.6,0,0,0,0,0.344,0.398,0.196,0,1,97.3,9.5,2308,90.4,91.56,3,7,15,1.1999999999999886,6.95,119,147,104,151,283,314,297
22,467793,"Santana, Carlos",2066,1.1,0,0,0,0,0.344,0.46,0.243,0,3,94.1,22.7,2379,89.1,88.45,2,6,16,-0.6999999999999886,5.93,114,151,103,140,293,318,287
22,676391,"Clement, Ernie",629,3.5,0.333,0,0.333,0.333,0.355,0.466,0.44,2,6,72.7,10.4,2164,86.9,86.92,0,11,11,0,6.32,98,142,103,138,287,306,274
22,662139,"Varsho, Daulton",2321,0.9,0.25,0,0.5,0.25,0.221,0.449,0.391,1,4,87.1,24,2232,87.3,87.37,4,15,7,0.10000000000000853,6.48,109,150,125,152,294,323,305
21,503556,"Gonzalez, Marwin",822,2.6,0,0,0,0,0.172,0.334,0.195,0,3,80.2,6.5,2513,88.9,88.9,1,5,16,0,6.34,114,151,108,150,299,318,289
21,669701,"Smith, Josh H.",1048,2,0.333,0,0.5,0.333,0.393,0.275,0.149,1,3,52.5,-34,2178,90.4,90.7,1,7,14,0.29999999999999716,6.5,117,154,103,150,288,317,294
21,620443,"Torrens, Luis",677,3.1,0.4,0,0.4,0.4,0.354,0.263,0.283,2,5,88.7,21.8,2280,91,91,3,10,11,0,6.32,93,141,107,137,294,322,291
21,670712,"Brosseau, Mike",686,3.1,0.333,0.5,0.5,0.833,0.493,0.29,0.17,2,6,89.2,5,2241,87,86.7,4,11,10,-0.29999999999999716,6.31,107,150,112,147,303,321,292
21,676628,"Contreras, Mark",220,9.5,0,0,0,0,0,0.073,0.08,0,6,78.8,2,2401,89.9,89.94,7,13,8,0,6.3,102,145,108,146,291,311,285
21,644374,"Chang, Yu",762,2.8,0,0,0,0,0,0.075,0.082,0,4,84.6,2,2319,88.2,87.81,8,13,8,-0.4000000000000057,6.12,98,134,104,126,290,299,277
21,621438,"Taylor, Tyrone",1522,1.4,0.2,0,0.25,0.2,0.177,0.339,0.287,1,5,89.3,0.5,2222,89.1,89.18,4,13,8,0.10000000000000853,6.32,91,147,111,139,306,318,288
21,641820,"Mancini, Trey",2368,0.9,0.333,0,0.333,0.333,0.295,0.295,0.307,1,3,94.1,10,2294,86.4,86.1,1,11,10,-0.30000000000001137,6.23,106,155,121,148,297,327,291
20,647304,"Naylor, Josh",1768,1.1,0.75,0,0.75,0.75,0.663,0.754,0.784,3,4,94,10.5,2386,86.2,86.24,0,11,9,0,6.21,95,143,108,146,297,325,298
20,596059,"Odor, Rougned",1761,1.1,0.571,0.429,0.6,1,0.677,0.642,0.464,4,7,87.4,8.5,2212,92.5,92.48,3,11,9,0,6.33,102,140,98,143,299,324,291
20,663611,"Madrigal, Nick",871,2.3,0,0,0,0,0,0.092,0.101,0,3,93.8,-25,2246,87.9,89.19,1,8,12,1.2999999999999972,7.01,104,141,112,145,287,300,274
20,660821,"Sánchez, Jesús",1391,1.4,0.333,0,0.333,0.333,0.393,0.283,0.163,1,3,97,8.3,2397,87.5,86.91,0,12,8,-0.5999999999999943,6.11,117,143,116,147,289,307,291
20,543228,"Gomes, Yan",1006,2,0,0,0,0,0,0.172,0.19,0,5,64.3,-14.7,2297,85.9,85.56,6,13,7,-0.30000000000001137,6.26,102,146,111,141,295,319,285
20,605204,"Davis, J.D.",1486,1.3,0,0,0,0,0.172,0.186,0.019,0,3,87.9,-26,2237,89.3,89.5,0,7,13,0.20000000000000284,6.37,114,150,122,149,311,330,298
20,605137,"Bell, Josh",2505,0.8,0,0,0,0,0.23,0.246,0.026,0,2,70.8,23,2422,89.7,90.38,2,8,12,0.7000000000000028,6.69,127,171,144,153,299,333,314
19,623912,"Ramírez, Harold",1578,1.2,0.167,0,0.167,0.167,0.147,0.315,0.337,1,6,92.8,-4,2406,90.4,89.96,1,12,7,-0.4000000000000057,6.17,109,143,109,140,299,317,281
19,677950,"Thomas, Alek",1483,1.3,0.333,0.333,0.5,0.667,0.488,0.349,0.251,1,3,99.4,-7,2410,91.5,91.91,1,8,11,0.4000000000000057,6.46,124,150,110,155,299,319,307
19,500743,"Rojas, Miguel",1816,1,0.25,0,0.25,0.25,0.221,0.45,0.405,1,4,89.1,9.5,2234,89.3,89.57,1,10,9,0.29999999999999716,6.42,112,149,122,149,299,315,285
19,541645,"García, Avisaíl",1367,1.4,1,0,0.75,1,0.663,0.26,0.326,3,3,90.3,2,2371,93,93.14,3,11,8,0.09999999999999432,6.07,107,151,126,144,312,328,295
19,666185,"Carlson, Dylan",1964,1,0.8,0,1,0.8,0.707,0.548,0.587,4,5,88.9,14.7,2326,90.5,90.66,3,10,9,0.20000000000000284,6.37,109,150,111,148,309,321,293
18,672386,"Kirk, Alejandro",2200,0.8,1,0,1,1,0.754,0.762,0.914,1,1,91.9,15,2094,87.1,87.56,0,4,14,0.5,6.72,108,147,116,148,298,327,291
18,488771,"Castro, Jason",369,4.9,0,0,0,0,0.172,0.203,0.045,0,3,98.1,-16,2305,86.6,86.66,2,7,11,0.10000000000000853,6.42,110,157,105,147,287,322,292
18,669374,"Hiura, Keston",1146,1.6,0.25,0.75,0,1,0.518,0.327,0.22,1,4,97.5,-0.5,2354,90.5,90.61,3,12,6,0.09999999999999432,6.29,97,147,107,146,307,329,292
18,622110,"Duffy, Matt",934,1.9,0.2,0,0.25,0.2,0.267,0.379,0.319,1,5,85.2,24.8,2342,89.1,89.48,2,7,11,0.4000000000000057,6.62,112,150,107,149,301,315,288
18,656775,"Mullins, Cedric",2460,0.7,0,0,0,0,0,0.142,0.032,0,4,88.5,28.5,2369,90.8,91.04,3,12,6,0.20000000000000284,6.57,110,153,96,151,298,325,295
18,571912,"Maile, Luke",821,2.2,0,0,0,0,0.138,0.146,0.003,0,3,83.4,52,2650,89.4,88.75,2,8,10,-0.7000000000000028,5.78,99,137,106,134,284,302,275
18,596129,"Vogelbach, Daniel",2102,0.9,0,0,0,0,0,0.198,0.21,0,4,74,13.5,2418,92.5,92.44,1,4,14,-0.09999999999999432,6.27,111,144,120,157,294,318,297
18,670623,"Paredes, Isaac",1617,1.1,0,0,0,0,0.172,0.219,0.062,0,3,82.4,26,2361,87.2,87.24,2,5,13,0,6.43,105,144,117,146,308,334,293
17,663630,"McKenna, Ryan",597,2.8,0,0,0,0,0,0.254,0.14,0,4,79.8,1.5,2139,86.8,86.86,4,9,8,0.10000000000000853,6.39,107,147,117,145,307,316,276
17,664983,"McCarthy, Jake",1263,1.3,0.25,0,0.5,0.25,0.321,0.295,0.184,1,4,80.2,42,2452,91.1,91.89,7,10,7,0.8000000000000114,6.89,122,153,101,153,294,317,304
17,571980,"Naquin, Tyler",1261,1.3,0,0,0,0,0,0.037,0.038,0,4,91.3,-29.5,2145,93.6,93.98,3,9,8,0.4000000000000057,6.66,107,157,100,148,292,324,298
17,656695,"Matijevic, J.J.",274,6.2,0.2,0,0.5,0.2,0.177,0.1,0.106,1,5,74.5,17.5,2223,90.5,91.14,4,8,9,0.5999999999999943,6.72,103,154,106,149,289,320,295
17,600474,"Severino, Pedro",95,17.9,0.5,0.5,1,1,0.65,0.274,0.07,1,2,90.3,-12,2327,90,90.06,2,10,7,0.09999999999999432,6.3,101,153,121,151,297,322,285
17,663845,"Rivas, Alfonso",1208,1.4,0.25,0,0.2,0.25,0.177,0.313,0.313,1,4,92.1,9.8,2233,86.5,86.03,0,9,8,-0.5,6.05,106,135,97,137,288,315,298
17,663837,"Vierling, Matt",1404,1.2,0.667,1.333,1,2,1.111,0.686,0.349,2,3,98.3,27.5,2296,90.9,91.18,2,7,10,0.29999999999999716,6.56,113,155,115,150,300,323,288
17,656669,"Luplow, Jordan",1006,1.7,0,0,,0,0,0,,0,4,,,2220,89.8,89.93,5,7,10,0.10000000000000853,6.46,106,155,121,148,301,323,295
17,519203,"Rizzo, Anthony",2112,0.8,0.333,0,0.5,0.333,0.295,0.199,0.213,1,3,102.7,-8,2063,91.1,91.32,3,9,8,0.20000000000000284,6.81,120,174,117,160,293,322,300
17,598265,"Bradley Jr., Jackie",1387,1.2,0,0,0,0,0.172,0.358,0.27,0,3,95.7,0.5,2164,87,87.22,4,8,9,0.20000000000000284,6.52,105,132,107,144,290,325,298
16,545358,"Stassi, Max",1436,1.1,0,0,0,0,0,0.195,0.215,0,3,81.5,1.7,2199,86.4,86.24,5,8,8,-0.20000000000000284,6.19,116,151,116,148,305,318,289
16,605119,"Anderson, Brian",1543,1,0.333,0,0.5,0.333,0.295,0.177,0.194,1,3,89.6,-11.5,2078,92.7,93.22,4,10,6,0.5,6.58,108,149,113,141,302,314,300
16,572204,"Thompson, Trayce",1138,1.4,0,0,0,0,0,0.051,0.056,0,4,73.5,5,2608,88.3,88.24,5,11,5,-0.09999999999999432,6.29,111,141,112,138,311,319,292
16,670351,"Rojas, Jose",228,7,0,0,0,0,0,0.156,0.154,0,3,85.2,37.5,2127,91.4,91.14,1,9,7,-0.30000000000001137,6.2,120,173,114,153,296,321,305
16,676801,"McCormick, Chas",1584,1,0.25,0.25,0.5,0.5,0.315,0.232,0.232,1,4,91.1,23.5,2513,88.6,88.16,3,8,8,-0.3999999999999915,6.13,114,154,107,147,295,322,294
16,657041,"Thomas, Lane",2204,0.7,0.25,0.25,0.25,0.5,0.315,0.341,0.34,1,4,76.2,-19.5,2350,85.5,85.61,2,9,7,0.09999999999999432,6.3,113,152,110,151,316,319,288
16,596146,"Kepler, Max",1656,1,0.5,0.25,0.667,0.75,0.536,0.402,0.42,2,4,78.2,-4,2273,90.7,90.5,1,8,8,-0.20000000000000284,6.18,94,148,118,148,300,325,301
16,642133,"Tellez, Rowdy",2392,0.7,0,0,0,0,0,0.386,0.398,0,5,91.7,17.5,2232,89.4,89.31,2,7,9,-0.10000000000000853,6.34,112,147,158,151,291,324,300
16,641779,"Leblanc, Charles",699,2.3,0,0,0,0,0,0.123,0.091,0,2,86.9,34,2107,88.9,88.76,0,8,8,-0.10000000000000853,6.23,115,153,118,147,300,315,274
15,621493,"Ward, Taylor",2297,0.7,1,1.5,1,2.5,1.215,1.092,0.808,2,2,92,26,2074,89.9,91.07,1,5,10,1.1999999999999886,7.06,114,152,124,149,302,321,290
15,545341,"Grichuk, Randal",1977,0.8,0,0,0,0,0.172,0.27,0.128,0,3,94.4,-0.5,2176,93.4,93.53,3,7,8,0.09999999999999432,6.37,114,153,122,147,305,323,296
15,606157,"Aquino, Aristides",1092,1.4,0.25,0,0.333,0.25,0.221,0.526,0.353,1,4,88.2,-4.7,2195,90.2,89.88,2,9,6,-0.29999999999999716,6.17,95,145,118,143,289,322,294
15,572761,"Carpenter, Matt",723,2.1,0,0,0,0,0.172,0.442,0.187,0,3,100.6,31,2213,87.7,75.29,3,4,11,-12.400000000000006,6.59,123,164,117,152,303,327,291
15,664702,"Straw, Myles",2360,0.6,0.25,0,0.5,0.25,0.221,0.344,0.354,1,4,85.6,21,2324,89.7,89.84,2,6,9,0.09999999999999432,6.37,94,132,101,131,262,286,277
15,660644,"Bruján, Vidal",612,2.5,0,0,0,0,0,0.21,0.213,0,3,87.5,49.5,2069,86.6,85.73,1,8,7,-0.8999999999999915,5.93,107,154,107,150,309,329,286
15,658668,"Olivares, Edward",689,2.2,1,0.5,1,1.5,0.955,0.512,0.379,2,2,84.6,31,2624,84,83.09,1,10,5,-0.9000000000000057,5.8,112,150,110,145,296,320,290
15,672284,"Kelenic, Jarred",699,2.1,0,0,0,0,0.23,0.25,0.03,0,2,74.6,-14,2022,92.7,92.4,4,8,7,-0.29999999999999716,6.23,117,137,107,143,279,307,255
15,642165,"VanMeter, Josh",804,1.9,0.333,0,0.5,0.333,0.295,0.173,0.192,1,3,81.1,2,2410,90.7,90.73,2,7,8,0,6.33,112,132,112,139,286,312,295
15,664059,"Haggerty, Sam",735,2,0.25,0.75,0,1,0.518,0.453,0.259,1,4,93.3,20.7,2280,92,92.33,0,7,8,0.29999999999999716,6.51,105,140,93,140,290,316,291
15,546318,"Herrera, Odúbel",737,2,0.2,0,0.2,0.2,0.177,0.153,0.165,1,5,55.7,-38.4,2028,86.3,85.63,2,12,3,-0.7000000000000028,6.11,92,146,108,147,287,324,289
15,543063,"Crawford, Brandon",1720,0.9,0,0,0,0,0.172,0.173,0.001,0,3,91.2,67,2383,91.4,91.99,4,7,8,0.5999999999999943,6.59,103,147,106,148,291,323,301
14,649557,"Díaz, Aledmys",1178,1.2,0.333,0,0.5,0.333,0.295,0.142,0.149,1,3,98.5,21,2197,88,87.71,1,7,7,-0.29999999999999716,6.36,107,150,117,144,293,325,288
14,553869,"Díaz, Elias",1445,1,0,0,0,0,0,0.04,0.041,0,3,76,-20,2558,89.7,90.97,4,8,6,1.2999999999999972,6.72,105,153,118,149,302,324,294
14,519317,"Stanton, Giancarlo",1841,0.8,0,0,,0,0,0,,0,2,,,2336,93.2,93.25,4,8,6,0.09999999999999432,6.48,96,154,129,153,300,340,286
14,669450,"Hummel, Cooper",819,1.7,0,0,0,0,0.23,0.285,0.091,0,2,87.7,-11,2087,90,89.29,0,3,11,-0.7000000000000028,6.05,115,153,112,150,304,313,292
14,641511,"Delay, Jason",653,2.1,0.5,0,1,0.5,0.524,0.256,0.043,1,2,91.9,-35,2355,95,94.67,2,6,8,-0.20000000000000284,6.14,97,148,118,147,297,316,288
14,614173,"Cordero, Franchy",1091,1.3,0,0,0,0,0,0.06,0.063,0,4,83.7,-10,2174,91.9,92.49,6,10,4,0.5999999999999943,6.62,105,142,103,137,269,243,303
14,621433,"Phillips, Brett",982,1.4,0,0,0,0,0,0.041,0.027,0,3,91.4,30,2350,84.8,84.01,3,5,9,-0.7999999999999972,5.91,125,149,111,155,301,329,292
14,678246,"Vargas, Miguel",202,6.9,0,0,0,0,0,0.161,0.126,0,3,87.5,39.5,2127,90.2,90.24,4,7,7,0,6.19,97,153,118,144,304,322,286
14,640449,"Frazier, Clint",168,8.3,0.25,0.25,0.333,0.5,0.315,0.176,0.172,1,4,89.3,49.7,1909,88.8,88.27,3,7,7,-0.5,6.06,101,132,104,125,277,306,285
14,453568,"Blackmon, Charlie",2085,0.7,0.667,1,1,1.667,0.985,0.893,0.567,2,3,101.6,23.5,2086,92.4,92.95,3,9,5,0.5,6.46,105,128,100,133,290,322,295
14,669257,"Smith, Will",2373,0.6,0.5,0,0.5,0.5,0.524,0.572,0.373,1,2,90.3,26,2570,95.5,95.45,3,6,8,-0.09999999999999432,6.38,107,136,106,125,288,222,282
14,542340,"Villar, Jonathan",877,1.6,,,,,0.689,0.689,,0,0,,,2241,93,93.17,2,6,8,0.20000000000000284,6.41,99,148,108,148,297,328,298
14,592696,"Rosario, Eddie",1010,1.4,0,0,0,0,0.172,0.26,0.127,0,3,79.1,-11,2154,93,93.48,3,6,8,0.5,6.54,99,169,117,153,301,328,302
14,606132,"Tapia, Raimel",1578,0.9,0.333,0,0.5,0.333,0.295,0.258,0.28,1,3,86.7,-2,2239,94.5,94.3,4,9,5,-0.20000000000000284,6.34,106,143,104,144,281,322,303
14,593643,"Alberto, Hanser",521,2.7,0.5,0,0.5,0.5,0.442,0.472,0.486,3,6,80.5,11.8,2295,84.7,84.61,2,9,5,-0.10000000000000853,6.34,102,145,106,143,297,319,290
14,641355,"Bellinger, Cody",2301,0.6,0,0,0,0,0,0.104,0.104,0,3,97.3,17,2223,89.8,89.88,2,10,4,0.10000000000000853,6.48,100,147,121,149,303,331,305
13,642851,"Wynns, Austin",703,1.8,0,0,0,0,0,0.099,0.11,0,3,85,15.5,2243,86.5,86.71,2,6,7,0.20000000000000284,6.55,117,152,114,148,296,312,278
13,605612,"Castro, Harold",1660,0.8,0.5,0,0.667,0.5,0.442,0.16,0.161,2,4,79.4,0.5,2262,89.9,89.87,1,9,4,0,6.35,116,153,104,153,275,321,289
13,666176,"Adell, Jo",1175,1.1,0,0,0,0,0.23,0.23,0,0,2,56,65,2360,88.6,88.32,2,5,8,-0.29999999999999716,6.26,110,154,118,150,298,319,291
13,622761,"Mateo, Jorge",1982,0.7,0,0,0,0,0,0.204,0.213,0,3,100.9,5,2270,86.8,87.46,5,8,5,0.7000000000000028,6.81,105,144,107,143,292,320,290
13,641584,"Fraley, Jake",985,1.3,0,0,0,0,0,0.124,0.136,0,3,87.1,-5,2409,89.1,88.69,2,6,7,-0.3999999999999915,5.98,104,131,102,135,227,294,289
13,642423,"Sierra, Magneuris",346,3.8,0.333,0,1,0.333,0.295,0.09,0.097,1,3,57.7,-68.5,2274,90.1,90.07,2,8,5,0,6.43,88,133,84,143,275,308,291
